[2025-08-30 20:31:11,927: INFO: main: Welcome to custom log]
[2025-08-30 20:32:36,070: INFO: main: Welcome to custom log]
[2025-08-30 20:32:41,693: INFO: main: Welcome to custom log]
[2025-09-07 01:15:22,498: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:15:22,501: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:15:22,501: INFO: common: created directory at: artifacts]
[2025-09-07 01:15:53,155: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:15:53,158: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:15:53,162: INFO: common: created directory at: artifacts]
[2025-09-07 01:16:46,307: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:16:46,309: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:16:46,311: INFO: common: created directory at: artifacts]
[2025-09-07 01:16:46,312: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-07 01:18:48,009: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:18:48,012: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:18:48,012: INFO: common: created directory at: artifacts]
[2025-09-07 01:18:48,012: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-07 01:19:32,690: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:19:32,693: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:19:32,693: INFO: common: created directory at: artifacts]
[2025-09-07 01:19:32,693: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-07 01:20:02,746: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:20:02,747: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:20:02,749: INFO: common: created directory at: artifacts]
[2025-09-07 01:20:02,750: INFO: common: created directory at: artifacts/data_ingestion]
[2025-09-07 01:23:59,511: INFO: common: yaml_file: config\config.yaml loaded successfully]
[2025-09-07 01:23:59,514: INFO: common: yaml_file: params.yaml loaded successfully]
[2025-09-07 01:23:59,515: INFO: common: created directory at: artifacts]
[2025-09-07 01:23:59,516: INFO: common: created directory at: artifacts/data_ingestion]
